name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"Shrikeh\Standards\Sniffs\Exception\FixerNotSet",2,2,2,0.5,1,2,0,0,4,1,1,1,1,1,1,0.15,73.46,73.46,0,N/A,N/A,2,1,0.5,1.5,2,1,3,0,13,13,N/A,2,2,1,1,0,0,1,2,0.67,N/A,0.12
"Shrikeh\Standards\Sniffs\Exception\PositionNotSet",2,2,2,0.5,1,2,0,0,4,1,1,1,1,1,1,0.15,73.46,73.46,0,N/A,N/A,2,1,0.5,1.5,2,1,3,0,13,13,N/A,2,2,1,1,0,0,1,2,0.67,N/A,0.22
"Shrikeh\Standards\Sniffs\Exception\SniffStandardsException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,2,1,0.33,N/A,0.46
"Shrikeh\Standards\Sniffs\FinalClassesSniff",23,9,72.91,4.5,328.09,0.22,0.02,18,16.2,5,18,3,6,2,2,0.22,77.62,54.79,22.84,N/A,N/A,2,81,0.25,81.25,324,1,325,3,32,29,N/A,4,4,2,2,0,0,0,2,1,N/A,0.07
"Shrikeh\Standards\Sniffs\Traits\FixerTrait",8,5,18.58,3.75,69.66,0.27,0.01,4,4.95,3,5,3,2,2,2,0.22,93.45,64.58,28.87,N/A,N/A,1,1,0.75,1.75,2,1.5,3.5,3,19,16,N/A,2,1,1,0,0,1,0,2,1,N/A,0.07
"Shrikeh\Standards\Sniffs\Traits\PositionTrait",8,5,18.58,3.75,69.66,0.27,0.01,4,4.95,3,5,3,2,2,2,0.22,93.45,64.58,28.87,N/A,N/A,1,1,0.75,1.75,2,1.5,3.5,3,19,16,N/A,2,1,1,0,0,1,0,1,1,N/A,0.07
